CURR_TIME,STATUS,Status code,Longitude,Latitude
2015-Mar-02 08:10:00,surfaced,1,-88.379138,28.739366
2015-Mar-02 08:10:00,surfaced,1,-88.394436,28.739729
2015-Mar-02 08:10:00,surfaced,1,-88.406925,28.741627
2015-Mar-02 08:00:01,surfaced,1,-88.439466,28.751564
2015-Mar-02 08:00:02,surfaced,1,-88.43678,28.750457
2015-Mar-02 08:00:02,surfaced,1,-88.39284,28.739581
2015-Mar-02 08:00:02,water column,0,-88.364207,28.73848
2015-Mar-02 08:00:02,water column,0,-88.36509,28.738718
2015-Mar-02 08:00:02,water column,0,-88.367067,28.738628
2015-Mar-02 08:00:02,water column,0,-88.368367,28.738866
2015-Mar-02 09:10:00,surfaced,1,-88.477603,28.766535
2015-Mar-02 09:10:00,water column,0,-88.343789,28.741177
2015-Mar-02 09:10:00,water column,0,-88.352297,28.743207
2015-Mar-02 09:10:00,water column,0,-88.346034,28.741955
2015-Mar-02 09:10:00,surfaced,1,-88.392242,28.742067
2015-Mar-02 09:10:00,surfaced,1,-88.426738,28.747956
2015-Mar-02 09:10:00,surfaced,1,-88.440278,28.750434
2015-Mar-02 09:10:00,surfaced,1,-88.446391,28.752336
2015-Mar-02 09:10:00,surfaced,1,-88.455713,28.754936
2015-Mar-02 09:10:00,surfaced,1,-88.462468,28.756741
2015-Mar-02 09:00:02,surfaced,1,-88.481593,28.763181
2015-Mar-02 09:10:00,surfaced,1,-88.452711,28.754478
2015-Mar-02 09:10:00,water column,0,-88.349869,28.737885
2015-Mar-02 09:10:00,water column,0,-88.363781,28.738886
2015-Mar-02 09:10:00,surfaced,1,-88.371255,28.739808
2015-Mar-02 09:10:00,surfaced,1,-88.386959,28.739046
2015-Mar-02 09:10:00,surfaced,1,-88.394854,28.739924
2015-Mar-02 09:10:00,surfaced,1,-88.410759,28.743804
2015-Mar-02 09:10:00,surfaced,1,-88.423266,28.74664
2015-Mar-02 09:00:01,surfaced,1,-88.455221,28.758195
2015-Mar-02 09:00:02,surfaced,1,-88.452612,28.757083
2015-Mar-02 09:00:02,surfaced,1,-88.40908,28.743633
2015-Mar-02 09:00:02,water column,0,-88.360376,28.737415
2015-Mar-02 09:00:02,water column,0,-88.360792,28.737546
2015-Mar-02 09:00:02,water column,0,-88.36178,28.737765
2015-Mar-02 09:00:02,water column,0,-88.363292,28.737542
2015-Mar-02 09:00:02,water column,0,-88.365734,28.737854
2015-Mar-02 09:00:02,water column,0,-88.368581,28.738237
2015-Mar-02 09:00:02,surfaced,1,-88.372875,28.739162
2015-Mar-02 10:10:00,surfaced,1,-88.491016,28.778519
2015-Mar-02 10:10:00,water column,0,-88.340875,28.739631
2015-Mar-02 10:10:00,water column,0,-88.351897,28.742187
2015-Mar-02 10:10:00,water column,0,-88.344871,28.740979
2015-Mar-02 10:10:00,surfaced,1,-88.406828,28.748765
2015-Mar-02 10:10:00,surfaced,1,-88.441634,28.755131
2015-Mar-02 10:10:00,surfaced,1,-88.455943,28.760658
2015-Mar-02 10:10:00,surfaced,1,-88.46197,28.762647
2015-Mar-02 10:10:00,surfaced,1,-88.470812,28.765434
2015-Mar-02 10:10:00,surfaced,1,-88.476402,28.76772
2015-Mar-02 10:00:02,surfaced,1,-88.494944,28.775056
