Current Time,Status,Status code,Longitude,Latitude
2015-Mar-02 12:10:00,surfaced,1,-88.497473,28.789029
2015-Mar-02 12:10:00,surfaced,1,-88.502926,28.791103
2015-Mar-02 12:00:01,surfaced,1,-88.518325,28.794769
2015-Mar-02 12:00:01,surfaced,1,-88.493537,28.787626
2015-Mar-02 12:00:01,water column,0,-88.341742,28.73289
2015-Mar-02 12:00:01,water column,0,-88.347307,28.735009
2015-Mar-02 12:00:01,water column,0,-88.342602,28.733285
2015-Mar-02 12:00:01,surfaced,1,-88.375566,28.744224
2015-Mar-02 12:00:01,surfaced,1,-88.409465,28.756593
2015-Mar-02 12:00:01,surfaced,1,-88.427939,28.759112
2015-Mar-02 12:00:01,surfaced,1,-88.436306,28.760411
2015-Mar-02 12:00:01,surfaced,1,-88.453489,28.767951
2015-Mar-02 12:00:01,surfaced,1,-88.466315,28.772973
2015-Mar-02 12:00:01,surfaced,1,-88.49685,28.792255
2015-Mar-02 12:10:00,surfaced,1,-88.457144,28.769418
2015-Mar-02 12:10:00,water column,0,-88.351208,28.732026
2015-Mar-02 12:10:00,water column,0,-88.362667,28.734093
2015-Mar-02 12:10:00,surfaced,1,-88.368716,28.739171
2015-Mar-02 12:10:00,surfaced,1,-88.382256,28.743972
2015-Mar-02 12:10:00,surfaced,1,-88.388887,28.74614
2015-Mar-02 12:10:00,surfaced,1,-88.402782,28.751183
2015-Mar-02 12:10:00,surfaced,1,-88.417564,28.757694
2015-Mar-02 12:00:01,surfaced,1,-88.443553,28.773721
2015-Mar-02 12:00:01,surfaced,1,-88.402463,28.752077
2015-Mar-02 12:00:01,water column,0,-88.362696,28.735759
2015-Mar-02 12:00:01,water column,0,-88.362992,28.73591
2015-Mar-02 12:00:01,water column,0,-88.363766,28.736211
2015-Mar-02 12:00:01,water column,0,-88.365254,28.736327
2015-Mar-02 12:00:01,water column,0,-88.367033,28.736705
2015-Mar-02 12:00:01,water column,0,-88.369349,28.737327
2015-Mar-02 12:00:01,surfaced,1,-88.372424,28.73975
2015-Mar-02 14:10:00,surfaced,1,-88.529891,28.827091
2015-Mar-02 14:10:00,water column,0,-88.332575,28.733781
2015-Mar-02 14:10:00,water column,0,-88.35747,28.73695
2015-Mar-02 14:10:00,water column,0,-88.344094,28.736812
2015-Mar-02 14:10:00,surfaced,1,-88.45753,28.786538
2015-Mar-02 14:10:00,surfaced,1,-88.492402,28.805584
2015-Mar-02 14:10:00,surfaced,1,-88.50397,28.81257
2015-Mar-02 14:10:00,surfaced,1,-88.507993,28.814685
2015-Mar-02 14:10:00,surfaced,1,-88.514189,28.817519
2015-Mar-02 14:10:00,surfaced,1,-88.518363,28.819086
2015-Mar-02 14:00:01,surfaced,1,-88.533888,28.822886
2015-Mar-02 14:00:01,surfaced,1,-88.511067,28.81642
2015-Mar-02 14:00:01,water column,0,-88.339664,28.730361
2015-Mar-02 14:00:01,water column,0,-88.348527,28.733005
2015-Mar-02 14:00:01,water column,0,-88.34285,28.730965
2015-Mar-02 14:00:01,surfaced,1,-88.389509,28.76122
2015-Mar-02 14:00:01,surfaced,1,-88.427267,28.775579
2015-Mar-02 14:00:01,surfaced,1,-88.44671,28.779112
2015-Mar-02 14:00:01,surfaced,1,-88.457431,28.784341
2015-Mar-02 14:00:01,surfaced,1,-88.474372,28.794073
2015-Mar-02 14:00:01,surfaced,1,-88.486699,28.801989
2015-Mar-02 14:00:01,surfaced,1,-88.513754,28.820946
2015-Mar-02 14:10:00,surfaced,1,-88.477855,28.796369
2015-Mar-02 14:10:00,water column,0,-88.350333,28.729213
2015-Mar-02 14:10:00,water column,0,-88.351357,28.729847
2015-Mar-02 14:10:00,water column,0,-88.365247,28.736288
2015-Mar-02 14:10:00,surfaced,1,-88.381813,28.756632
2015-Mar-02 14:10:00,surfaced,1,-88.396937,28.76067
2015-Mar-02 14:10:00,surfaced,1,-88.405244,28.763829
2015-Mar-02 14:10:00,surfaced,1,-88.421906,28.772092
2015-Mar-02 14:10:00,surfaced,1,-88.433979,28.774842
2015-Mar-02 14:00:01,surfaced,1,-88.465036,28.798534
2015-Mar-02 14:00:01,surfaced,1,-88.421672,28.773028
2015-Mar-02 14:00:01,water column,0,-88.360258,28.732846
2015-Mar-02 14:00:01,water column,0,-88.365405,28.733723
2015-Mar-02 14:00:01,water column,0,-88.367093,28.733544
2015-Mar-02 14:00:01,water column,0,-88.368801,28.736676
2015-Mar-02 14:00:01,surfaced,1,-88.371937,28.74067
2015-Mar-02 14:00:01,surfaced,1,-88.378322,28.749894
2015-Mar-02 14:00:01,surfaced,1,-88.385953,28.757073
2015-Mar-02 14:00:01,surfaced,1,-88.399768,28.775904
2015-Mar-02 14:10:00,surfaced,1,-88.380928,28.754574
2015-Mar-02 14:10:00,water column,0,-88.367532,28.738205
2015-Mar-02 14:10:00,water column,0,-88.368392,28.738138
2015-Mar-02 14:10:00,water column,0,-88.370256,28.738172
2015-Mar-02 14:10:00,water column,0,-88.370981,28.737679
2015-Mar-02 16:10:00,surfaced,1,-88.538231,28.853007
2015-Mar-02 16:10:00,water column,0,-88.331648,28.731551
2015-Mar-02 16:10:00,water column,0,-88.363039,28.733531
2015-Mar-02 16:10:00,water column,0,-88.346636,28.734964
2015-Mar-02 16:10:00,surfaced,1,-88.473164,28.814368
2015-Mar-02 16:10:00,surfaced,1,-88.505027,28.834932
2015-Mar-02 16:10:00,surfaced,1,-88.515152,28.841927
2015-Mar-02 16:10:00,surfaced,1,-88.519374,28.844219
2015-Mar-02 16:10:00,surfaced,1,-88.525764,28.84723
2015-Mar-02 16:10:00,surfaced,1,-88.530102,28.848905
2015-Mar-02 16:00:01,surfaced,1,-88.540645,28.84711
2015-Mar-02 16:00:01,surfaced,1,-88.522448,28.845958
2015-Mar-02 16:00:01,water column,0,-88.340958,28.728289
2015-Mar-02 16:00:01,water column,0,-88.352716,28.731913
2015-Mar-02 16:00:01,water column,0,-88.344185,28.728889
2015-Mar-02 16:00:01,surfaced,1,-88.397689,28.776361
2015-Mar-02 16:00:01,surfaced,1,-88.438865,28.795648
